Date,Open,High,Low,Close,Volume,Ticker
2025-09-09,237.0,238.78,233.36,234.35,66313900,AAPL
2025-09-10,232.19,232.42,225.95,226.79,83440800,AAPL
2025-09-11,226.88,230.45,226.65,230.03,50208600,AAPL
2025-09-12,229.22,234.51,229.02,234.07,55824200,AAPL
2025-09-15,237.0,238.19,235.03,236.7,42699500,AAPL
2025-09-16,237.18,241.22,236.32,238.15,63421100,AAPL
2025-09-17,238.97,240.1,237.73,238.99,46508000,AAPL
2025-09-18,239.97,241.2,236.65,237.88,44249600,AAPL
2025-09-19,241.23,246.3,240.21,245.5,163741300,AAPL
2025-09-22,248.3,256.64,248.12,256.08,105517400,AAPL
2025-09-23,255.88,257.34,253.58,254.43,60275200,AAPL
2025-09-24,255.22,255.74,251.04,252.31,42303700,AAPL
2025-09-25,253.21,257.17,251.71,256.87,55202100,AAPL
2025-09-26,254.1,257.6,253.78,255.46,46076300,AAPL
2025-09-29,254.56,255.0,253.01,254.43,40127700,AAPL
2025-09-30,254.86,255.92,253.11,254.63,37704300,AAPL
2025-10-01,255.04,258.79,254.93,255.45,48713900,AAPL
2025-10-02,256.58,258.18,254.15,257.13,42630200,AAPL
2025-10-03,254.67,259.24,253.95,258.02,49155600,AAPL
2025-10-06,257.99,259.07,255.05,256.69,44664100,AAPL
2025-10-07,256.81,257.4,255.43,256.48,31955800,AAPL
2025-10-08,256.52,258.52,256.11,258.06,36465000,AAPL
