,Open,High,Low,Close,Volume,ticker
2025-09-09,237.0,238.7805,233.36,234.35,66313918,AAPL
2025-09-10,232.185,232.42,225.95,226.79,83440810,AAPL
2025-09-11,226.875,230.45,226.65,230.03,50208578,AAPL
2025-09-12,229.22,234.51,229.02,234.07,55824216,AAPL
2025-09-15,237.0,238.19,235.03,236.7,42699524,AAPL
2025-09-16,237.175,241.22,236.3235,238.15,63421099,AAPL
2025-09-17,238.97,240.1,237.7301,238.99,46508017,AAPL
2025-09-18,239.97,241.2,236.65,237.88,44249576,AAPL
2025-09-19,241.225,246.3,240.2106,245.5,163741314,AAPL
2025-09-22,248.3,256.64,248.12,256.08,105517416,AAPL
2025-09-23,255.875,257.34,253.58,254.43,60275187,AAPL
2025-09-24,255.22,255.74,251.04,252.31,42303710,AAPL
2025-09-25,253.205,257.17,251.712,256.87,55202075,AAPL
2025-09-26,254.095,257.6,253.78,255.46,46076258,AAPL
2025-09-29,254.56,255.0,253.01,254.43,40127687,AAPL
2025-09-30,254.855,255.919,253.11,254.63,37704259,AAPL
2025-10-01,255.04,258.79,254.93,255.45,48713940,AAPL
2025-10-02,256.575,258.18,254.15,257.13,42630239,AAPL
2025-10-03,254.665,259.24,253.95,258.02,49155614,AAPL
2025-10-06,257.99,259.07,255.05,256.69,44664118,AAPL
2025-10-07,256.805,257.4,255.43,256.48,31955776,AAPL
2025-10-08,256.52,258.52,256.11,258.06,36496895,AAPL
2025-09-09,501.43,502.25,497.7,498.41,14410542,MSFT
2025-09-10,502.98,503.2299,496.72,500.37,21611816,MSFT
2025-09-11,502.25,503.17,497.88,501.01,18881608,MSFT
2025-09-12,506.65,512.55,503.85,509.9,23624884,MSFT
2025-09-15,508.79,515.47,507.0,515.36,17143786,MSFT
2025-09-16,516.88,517.23,508.6,509.04,19711922,MSFT
2025-09-17,510.62,511.29,505.93,510.02,15816585,MSFT
2025-09-18,511.49,513.07,507.66,508.45,18913696,MSFT
2025-09-19,510.56,519.3,510.31,517.93,52474093,MSFT
2025-09-22,515.59,517.74,512.545,514.45,20009314,MSFT
2025-09-23,513.8,514.5899,507.31,509.23,19799580,MSFT
2025-09-24,510.38,512.48,506.92,510.15,13533711,MSFT
2025-09-25,508.3,510.01,505.04,507.03,15786468,MSFT
2025-09-26,510.06,513.94,506.62,511.46,16213129,MSFT
2025-09-29,511.5,516.845,508.88,514.6,17617775,MSFT
2025-09-30,513.24,518.16,509.66,517.95,19728229,MSFT
2025-10-01,514.8,520.505,511.69,519.71,22632336,MSFT
2025-10-02,517.64,521.6,510.6791,515.74,21222886,MSFT
2025-10-03,517.1,520.49,515.0,517.35,15112321,MSFT
2025-10-06,518.61,531.03,518.2,528.57,21388581,MSFT
2025-10-07,528.285,529.8,521.44,523.98,14615208,MSFT
2025-10-08,523.28,526.95,523.09,524.85,13363447,MSFT
