,symbol,date,open,high,low,close,volume,change,changePercent,vwap
0,^GSPC,2025-10-08,6723.87,6755.64,6718.09,6753.71,5383130000,29.84,0.44379,6737.8275
1,^GSPC,2025-10-07,6746.14,6754.49,6699.96,6714.58,5546150000,-31.56,-0.46782,6728.7925
2,^GSPC,2025-10-06,6733.86,6749.52,6717.78,6740.29,5604460000,6.43,0.09548758,6735.3625
3,^GSPC,2025-10-03,6722.14,6750.87,6705.67,6715.78,5713110000,-6.36,-0.09461273,6723.615
4,^GSPC,2025-10-02,6731.31,6731.94,6693.23,6715.36,5416130000,-15.95,-0.23695000000000002,6717.96
5,^GSPC,2025-10-01,6664.92,6718.48,6656.2,6711.19,6037950000,46.27,0.69423,6687.6975
6,^GSPC,2025-09-30,6656.19,6691.25,6641.0,6688.47,6057210000,32.28,0.48496000000000006,6669.2275
7,^GSPC,2025-09-29,6661.58,6677.31,6644.49,6661.2,5358760000,-0.38,-0.00570435,6661.145
8,^GSPC,2025-09-26,6615.38,6648.97,6604.43,6643.71,5103110000,28.33,0.42824,6628.1225
9,^GSPC,2025-09-25,6608.19,6619.0,6569.22,6604.73,5874670000,-3.46,-0.05235927,6600.285
10,^GSPC,2025-09-24,6669.79,6672.66,6621.76,6637.98,5459180000,-31.81,-0.47693,6650.5475
11,^GSPC,2025-09-23,6692.44,6699.52,6645.58,6656.93,5633620000,-35.51,-0.5306000000000001,6673.6175
12,^GSPC,2025-09-22,6654.28,6698.88,6648.07,6693.74,5642620000,39.46,0.593,6673.7425
13,^GSPC,2025-09-19,6647.11,6671.82,6630.31,6664.37,9125960000,17.26,0.25966,6653.4025
14,^GSPC,2025-09-18,6626.85,6656.8,6611.89,6631.95,5292400000,5.1,0.07695964,6631.8725
15,^GSPC,2025-09-17,6604.87,6624.39,6551.15,6600.36,5805340000,-4.51,-0.06828295,6595.1925
16,^GSPC,2025-09-16,6624.13,6626.99,6600.11,6606.77,5359510000,-17.36,-0.26207,6614.5
17,^GSPC,2025-09-15,6603.49,6619.62,6602.07,6615.29,5045020000,11.8,0.17869000000000002,6610.1175
18,^GSPC,2025-09-12,6590.66,6600.21,6579.49,6584.28,4641640000,-6.38,-0.09680366,6588.66
19,^GSPC,2025-09-11,6554.41,6592.89,6545.8,6587.48,5426460000,33.07,0.50455,6570.145
20,^GSPC,2025-09-10,6550.29,6555.97,6516.34,6532.03,5253010000,-18.26,-0.27877,6538.6575
21,^GSPC,2025-09-09,6503.33,6518.23,6483.08,6512.62,4798350000,9.29,0.14285,6504.315
