,symbol,date,open,high,low,close,volume,change,changePercent,vwap,ticker
0,AAPL,2025-10-09,257.805,258.0,253.5301,253.8088,19034567,-4.0,-1.55009,255.11,AAPL
1,AAPL,2025-10-08,256.52,258.52,256.11,258.06,36496895,1.54,0.6003400000000001,257.3025,AAPL
2,AAPL,2025-10-07,256.81,257.4,255.43,256.48,31955800,-0.325,-0.1285,256.53,AAPL
3,AAPL,2025-10-06,257.99,259.07,255.05,256.69,44664118,-1.3,-0.5039,257.2,AAPL
4,AAPL,2025-10-03,254.67,259.24,253.95,258.02,49155614,3.35,1.32,256.47,AAPL
5,AAPL,2025-10-02,256.58,258.18,254.15,257.13,42630239,0.555,0.21436000000000002,256.51,AAPL
6,AAPL,2025-10-01,255.04,258.79,254.93,255.45,48713940,0.41000000000000003,0.16076000000000001,256.0525,AAPL
7,AAPL,2025-09-30,254.86,255.92,253.11,254.63,37704300,-0.225,-0.09024563000000001,254.63,AAPL
8,AAPL,2025-09-29,254.56,255.0,253.01,254.43,40127700,-0.13,-0.051068510000000004,254.25,AAPL
9,AAPL,2025-09-26,254.1,257.6,253.78,255.46,46076300,1.37,0.53522,255.235,AAPL
10,AAPL,2025-09-25,253.21,257.17,251.71,256.87,55202100,3.66,1.45,254.74,AAPL
11,AAPL,2025-09-24,255.22,255.74,251.04,252.31,42303710,-2.91,-1.1400000000000001,253.5775,AAPL
12,AAPL,2025-09-23,255.88,257.34,253.58,254.43,60275200,-1.44,-0.56667,255.3075,AAPL
13,AAPL,2025-09-22,248.3,256.64,248.12,256.08,105517416,7.78,3.13,252.285,AAPL
14,AAPL,2025-09-19,241.23,246.3,240.21,245.5,163741314,4.28,1.77,243.31,AAPL
15,AAPL,2025-09-18,239.97,241.2,236.65,237.88,44249600,-2.09,-0.87094,238.925,AAPL
16,AAPL,2025-09-17,238.97,240.1,237.73,238.99,46508017,0.02,0.00836925,238.9475,AAPL
17,AAPL,2025-09-16,237.18,241.22,236.32,238.15,63421100,0.975,0.40897000000000006,238.2175,AAPL
18,AAPL,2025-09-15,237.0,238.19,235.03,236.7,42699524,-0.30000000000000004,-0.12658,236.73,AAPL
19,AAPL,2025-09-12,229.22,234.51,229.02,234.07,55824216,4.85,2.12,231.705,AAPL
20,AAPL,2025-09-11,226.88,230.45,226.65,230.03,50208600,3.16,1.3900000000000001,228.5025,AAPL
21,AAPL,2025-09-10,232.19,232.42,225.95,226.79,83440810,-5.4,-2.33,229.3375,AAPL
22,AAPL,2025-09-09,237.0,238.78,233.36,234.35,66313918,-2.65,-1.12,235.8725,AAPL
0,MSFT,2025-10-09,522.335,524.325,517.66,518.79,8583553,-3.55,-0.67868322,520.26,MSFT
1,MSFT,2025-10-08,523.28,526.95,523.09,524.85,13363447,1.57,0.30003,524.5425,MSFT
2,MSFT,2025-10-07,528.29,529.8,521.44,523.98,14615208,-4.3,-0.8158400000000001,525.8775,MSFT
3,MSFT,2025-10-06,518.61,531.03,518.2,528.57,21388600,9.96,1.92,524.1025,MSFT
4,MSFT,2025-10-03,517.1,520.49,515.0,517.35,15112321,0.25,0.04834655,517.485,MSFT
5,MSFT,2025-10-02,517.64,521.6,510.68,515.74,21222900,-1.9,-0.36705000000000004,516.415,MSFT
6,MSFT,2025-10-01,514.8,520.51,511.69,519.71,22632336,4.91,0.9537700000000001,516.6775,MSFT
7,MSFT,2025-09-30,513.24,518.16,509.66,517.95,19728229,4.71,0.9177000000000001,514.7525,MSFT
8,MSFT,2025-09-29,511.5,516.85,508.88,514.6,17617800,3.1,0.60606,512.9575,MSFT
9,MSFT,2025-09-26,510.06,513.94,506.62,511.46,16213129,1.4,0.27448,510.52,MSFT
10,MSFT,2025-09-25,508.3,510.01,505.04,507.03,15786500,-1.27,-0.24985000000000002,507.595,MSFT
11,MSFT,2025-09-24,510.38,512.48,506.92,510.15,13533711,-0.23,-0.04506446,509.9825,MSFT
12,MSFT,2025-09-23,513.8,514.59,507.31,509.23,19799600,-4.57,-0.8894500000000001,511.2325,MSFT
13,MSFT,2025-09-22,515.59,517.74,512.54,514.45,20009314,-1.1400000000000001,-0.22111000000000003,515.08,MSFT
14,MSFT,2025-09-19,510.56,519.3,510.31,517.93,52474100,7.37,1.44,514.525,MSFT
15,MSFT,2025-09-18,511.49,513.07,507.66,508.45,18913700,-3.04,-0.5943400000000001,510.1675,MSFT
16,MSFT,2025-09-17,510.62,511.29,505.93,510.02,15816600,-0.6000000000000001,-0.11750000000000001,509.465,MSFT
17,MSFT,2025-09-16,516.88,517.23,508.6,509.04,19711922,-7.84,-1.52,512.9375,MSFT
18,MSFT,2025-09-15,508.79,515.47,507.0,515.36,17143800,6.57,1.29,511.655,MSFT
19,MSFT,2025-09-12,506.65,512.55,503.85,509.9,23624900,3.25,0.6414700000000001,508.2375,MSFT
20,MSFT,2025-09-11,502.25,503.17,497.88,501.01,18881608,-1.24,-0.24689000000000003,501.0775,MSFT
21,MSFT,2025-09-10,502.98,503.23,496.72,500.37,21611816,-2.61,-0.5189100000000001,500.825,MSFT
22,MSFT,2025-09-09,501.43,502.25,497.7,498.41,14410542,-3.02,-0.60228,499.9475,MSFT
